lat.long,portalname
35.41896,133.332523,湊山体育館
35.419396,133.328658,総泉時 本堂
35.422583,133.337411,JR米子駅南口
35.422584,133.333923,彫刻ロード「はる」
35.422658,133.333708,大地の刻
35.422825,133.335512,米子駅バス乗り場 観光案内地図
35.422867,133.330184,Gravitation
35.423014,133.335086,だれ
35.423136,133.329783,地殻-cocoon3-
35.423166,133.327908,祇園地蔵
35.423185,133.33409,油そば 笑ちゃん
35.423258,133.326555,彫刻ロード「光」
35.423286,133.329341,白鳥
35.423439,133.333081,Café ら・ぼーる
35.423592,133.328052,彫刻ロード「再生」
35.424037,133.323137,繁多寺
35.42404,133.33353,明治第一公園のパーゴラ休憩所
35.424068,133.332378,ローダンのラーメン 米子駅前店
35.424164,133.331871,塩町地蔵
35.424242,133.334677,焼肉ホルモン だんだん
35.424733,133.331703,お食事小料理すえ
35.424862,133.326159,米子城跡 上り口
35.42498,133.330266,焼肉韓国料理　大力家族亭
35.437492,133.340979,住居表示街区案内図　米子市東福原1丁目
35.437507,133.340544,米川堤防のつつじ
