lat,long,name 
36.564727,136.658133,三十間長屋
36.565407,136.65979,橋爪門
36.565442,136.658414,極楽橋
36.565661,136.658043,松坂門跡
36.565853,136.659851,菱櫓・五十間長屋・橋爪門続櫓石垣
36.566089,136.659626,Hishi Yagura Turret
36.566089,136.661186,Kanazawa Castle and Kenrokuen Garden Directory
36.566407,136.659412,二ノ丸北面石垣
36.566476,136.657558,旧第六旅団司令部
36.566596,136.662036,寛ろぎ
36.566914,136.65992,金沢城公園の東屋
36.566917,136.658467,金沢城・兼六園管理事務所
36.567316,136.655186,石川県文教会館
36.567626,136.65634,大谷廟所
36.567704,136.654919,旧 松原町
36.56821,136.658919,桜の園
36.568343,136.656867,甚右衛門坂
36.568497,136.660644,ohte-bori ishigaki
36.568544,136.652866,松声庵 (Shosei-an)
36.568878,136.65686,兼六荘
36.568957,136.658703,大手掘
36.56925,136.657419,尾崎神社
36.569299,136.65833,黒門前緑地 旧高橋家 旧検事正官舎
36.56929,136.657686,豊受稲荷社
36.569426,136.659967,旧 梅本町
36.569566,136.656282,旧園邸・松向庵
36.569781,136.662095,旧殿町碑
36.569964,136.656735,栄昌庵
36.570108,136.659705,加賀ハ家「前田家(長種系)」屋敷跡
36.570446,136.657955,石黒商店店舗兼主屋
